timestamp;energy_used;solar_produced
1578819600;5.219;0.12
1578823200;3.526;0.2
1578826800;3.379;0.17
1578830400;3.445;0.26
1578834000;3.515;0.34
1578837600;4.002;0.27
1578841200;3.416;0.03
1578844800;3.475;0
1578848400;3.542;0
1578852000;3.546;0
1578855600;3.446;0
1578859200;3.439;0
1578862800;3.35;0
1578866400;2.371;0
1578870000;1.418;0
1578873600;1.43;0
1578877200;3.17;0
1578880800;3.456;0
1578884400;1.832;0
1578888000;1.431;0
1578891600;1.935;0
1578895200;5.328;0
1578898800;5.042;0
1578902400;2.261;0.19
1578906000;1.494;0.44
1578909600;2.234;1.3
1578913200;4.646;1.67
1578916800;3.068;1
1578920400;1.585;1.2
1578924000;1.342;0.49
1578927600;2.515;0.09
1578931200;4.124;0
1578934800;2.901;0
1578938400;4.482;0
1578942000;3.479;0
1578945600;2.079;0
1578949200;1.336;0
1578952800;1.687;0
1578956400;3.249;0
1578960000;3.221;0
1578963600;1.395;0
1578967200;1.393;0
1578970800;2.38;0
1578974400;3.258;0
1578978000;2.486;0
1578981600;3.076;0
1578985200;2.347;0
1578988800;3.389;0.06
1578992400;3.929;0.32
1578996000;1.452;0.43
1578999600;1.16;0.38
1579003200;1.779;0.23
1579006800;3.022;0.17
1579010400;2.721;0.11
1579014000;1.493;0.02
1579017600;1.81;0
1579021200;2.753;0
1579024800;3.289;0
1579028400;1.693;0
1579032000;1.596;0
1579035600;2.866;0
1579039200;3.336;0
1579042800;2.816;0
1579046400;1.378;0
1579050000;1.417;0
1579053600;2.453;0
1579057200;3.231;0
1579060800;2.127;0
1579064400;1.442;0
1579068000;2.59;0
1579071600;3.473;0.02
1579075200;4.627;0.15
1579078800;1.823;0.25
1579082400;1.196;0.16
1579086000;1.843;0.25
1579089600;3.081;0.28
1579093200;2.525;0.18
1579096800;2.132;0.05
1579100400;1.324;0.04
1579104000;2.534;0
1579107600;3.441;0
1579111200;2.641;0
1579114800;2.194;0
1579118400;2.075;0
1579122000;3.083;0
1579125600;3.421;0
1579129200;1.788;0
1579132800;1.425;0
1579136400;2.011;0
